n the borders of Thrace, celebrated for the battle in which Octavianus and Antony defeated Brutus and Cassius, now Filibi",2775
209733,L1464099,n,9,"a city of Thrace on the Hebrus, now Philippopoli",2775
209734,L8631514,n,9,"Philip, the name of several kings of Macedonia, the most celebrated of whom was the son of Amyntas, and father of Alexander the Great",
209735,L8542453,n,9,"the southwestern portion of Canaan, Philistia",
209736,L9654907,n,9,a Philistine,
209737,L9485247,n,9,"the Philistines, the original inhabitants of Palestine",1696
209738,L8903299,n,9,a celebrated physician,
209739,L8512718,n,9,"a historian in Syracuse in the reign of the tyrant Dionysius, an imitator of Thucydides",
209740,L9222638,n,9,an Academic philosopher of Athens,1545
209741,L8517827,n,9,the name of a girl,
209742,L5937608,n,9,"son of Poeas of Thessaly, celebrated as an archer, a companion of Hercules, who at his death gave him the poisoned arrows without which Troy could not be taken",
209743,L5734729,n,9,a famous Epicurean philosopher in the time of Cicero,1545
209867,L1819864,n,9,"the Black Sea, called in full Pontus Euxinus",
209744,L2250316,n,9,"a Pythagorean philosopher of Croton, a disciple of Archytas",1545
209745,L7761100,a,9,"daughter of Pandion, king of Athens, and sister of Progne",
209746,L5268003,n,9,"a city in Phrygia Major, now Ak Shehr",2775
209747,L7745041,n,9,a common royal epithet among Hellenistic monarchs,
209748,L2634875,n,9,a celebrated general of the Achoean league,2798
209749,L5672028,n,9,"friend or lover of the Romans, a title given to Ariobarzanes, king of Cappadocia",
209750,L2925347,n,9,"a nymph, daughter of Oceanus, who bore to Saturn the Centaur Chiron, and was changed into a linden-tree",
209751,L4847486,n,9,"king of Salmydessus, in Thrace",
209752,L3441100,n,9,"a city in Sicily, now Alicata or Licata",2775
209753,L2659493,n,9,"a Pythagorean, celebrated for his friendship with Damon",
209754,L2909488,n,9,"a river in the Lower World, which ran with fire instead of water",2775
209755,L5677091,n,9,one of the four horses of the sun,
209756,L7980300,n,9,"a country of Macedonia, afterwards called Pallene, where the giants are fabled to have been struck with lightning when fighting with the gods",1666
209757,L8039952,n,9,one of the Centaurs,
209758,L2380992,n,9,"a predatory people from Thrace or Thessaly, who destroyed the temple at Delphi",1696
209759,L1785413,n,9,"a city of Peloponnesus, between Sicyon and Argolis, at the sources of the Aesopus, now Polyfengo",2775
209760,L1843931,n,9,son of Morpheus,
209761,L6982784,n,9,"a maritime town of Ionia, a colony of the Athenians, whose inhabitants fled, to escape from Persian domination, and founded Massilia, now Fouges or Foggia",2775
209762,L8351660,n,9,"the country between Boeotia and Aetolia, in which were the mountains of Parnassus and Helicon, the Castalian spring, and the river Cephisus",2775
209763,L6213265,n,9,"son of Aeacus, who was slain by his brother Peleus",
209764,L6524263,n,9,"the moon goddess, sister of Phoebus",1666
209765,L3158860,n,9,"a temple of Phoebus, from which a place near Sparta received its name",2775
209766,L9992911,n,9,a poetical appellation of Apollo as the god of light,1666
209767,L5081841,a,9,"Phoenicia, a country of Syria, especially celebrated for the purple which came from there",
209768,L1482383,n,9,"the son of Amyntor, who was given by Peleus to Achilles as a companion in the Trojan war",
209769,L5322848,n,9,"a forestclad mountain in Arcadia, on the borders of Elis",2775
209770,L3739840,n,9,"son of Phonolenus, a Lapitha",
209771,L5144872,n,9,the name of several mythic personages,1566
