id,offset,pos,language,gloss,semfield
103862,00102995,n,10,"exerting shrewd or devious influence especially for one's own advantage; ""his manipulation of his friends was scandalous""",
103863,00103181,n,10,the act of inducing hypnosis,
103864,00103290,n,10,"act of bringing about a desired result: ""inducement of sleep""",
103865,00103419,n,10,inducement by argument or reasoning or entreaty,
103866,00103541,n,10,"the act of influencing by exciting hope or desire: ""his enticements were shameless""",
103867,00103784,n,10,the act of urging by means of teasing or flattery,
103868,00103904,n,10,"the act of enticing or alluring: ""she was an invitation to trouble""",
103869,00104028,n,10,the act of enticing others into sinful ways,
103870,00104146,n,10,enticing someone astray from right behavior,
103871,00104245,n,10,an act of winning the love of someone,
103872,00104367,n,10,"a seduction culminating in sexual intercourse: ""calling his seduction of the girl a ""score"" was a typical example of male slang""",1703
103873,00104565,n,10,the act of enticing a person to do something wrong (as an offer of sex in return for money),
103874,00104728,n,10,deterrence by argument or reasoning or entreaty,
103875,00104850,n,10,"the act of choosing or selecting: ""your choice of colors was unfortunate""; ""you can take your pick""",
103876,00105129,n,10,the choice of actors to play particular roles in a play or movie,"2606,2610"
103877,00105247,n,10,the selection of a suitable sample for study,
103878,00105382,n,10,the selection of a random sample; each element of the population has an equal chance of been selected,
103879,00105545,n,10,the population is divided into subpopulations (strata) and random samples are taken of each stratum,
103880,00105760,n,10,"the act of making up your mind about something: ""the burden of decision was his""; ""he drew his conclusions quickly""",
103881,00106049,n,10,"the act of making a choice: ""followed my father of my own choice""",
103882,00106179,n,10,"a reversal in attitude or principle or point of view: ""an about-face on foreign policy""",1718
103883,00106381,n,10,"the act of putting a person into a non-elective position; ""the appointment had to be approvied by the whole committee""",
103884,00106665,n,10,the act of nominating (especially a candidate for election),
103885,00106794,n,10,"the act of distributing something to designated places or persons: ""the first task is the assignment of an address to each datum""",
103886,00107010,n,10,(computer science) the assignment of particular areas of a magnetic disk to particular data or instructions,1355
103887,00107174,n,10,"(sports) the decision made by an umpire or referee; ""he was ejected for protesting the call""",2638
103888,00107317,n,10,the act of appointing summarily (with or without the appointee's consent),
103889,00107460,n,10,the appointment of a delegate,
103890,00107544,n,10,the act of ordaining,1565
103891,00107670,n,10,laying hands on a person's head to invoke spiritual blessing in Christian ordination,1565
103892,00107819,n,10,"the act of deciding to do something: ""he didn't make a move to help""; ""his first move was to hire a lawyer""",
103893,00108013,n,10,(games) a player's turn to move a piece or take some other permitted action,"2633,2638"
103894,00108157,n,10,the act of moving a chess piece,"2628,2638"
103895,00108354,n,10,interchanging the positions of the king and a rook,"2628,2638"
103896,00108468,n,10,the removal of an opponent's piece from the chess board,"2628,2638"
103897,00108577,n,10,(chess) a direct attack on an opponent's king,2628
103898,00108692,n,10,a check on the opponent's king that is delivered by moving a piece out of the line of attack by a queen or rook or bishop,2628
103899,00108876,n,10,a move constituting an inescapable and indefensible attack on the opponent's king,"2628,2638"
103900,00109013,n,10,a chess move early in the game in which the player sacrifices minor pieces in order to obtain an advantageous position,"2628,2638"
103901,00109184,n,10,a diplomatic move,
103902,00109256,n,10,a move made to gain a tactical end,
103903,00109535,n,10,the act of maneuvering a vehicle into a location where it can be left temporarily,1946
103904,00109670,n,10,"the act of changing your residence or place of business: ""they say that three moves equal one fire""",
103905,00109838,n,10,"a secret move (to avoid paying debts); ""they did a moonlight flit""",
103906,00109955,n,10,a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning),1942
103907,00110118,n,10,a bank so steep that the plane's lateral axis approaches the vertical,1942
103908,00110247,n,10,a flight maneuver; aircraft flies a complete circle in the vertical plane,1942
103909,00110371,n,10,a flight maneuver; aircraft rotates about its longitudinal axis without changing direction or losing altitude,1942
103910,00110567,n,10,a roll in which the plane follows a spiral course,1942
103911,00110674,n,10,a fast roll,1942
103912,00110741,n,10,a flight maneuver; aircraft slides sideways in the air,1942
103913,00110857,n,10,an evasive maneuver by an aircraft,1942
103914,00111045,n,10,(football) the act of warding off a tackler by holding the arm fully extended with the hand against the opponent,2871
103915,00111216,n,10,"any clever (deceptive) maneuver; ""he would stoop to any device to win a point""",
103916,00111383,n,10,"a cunning or deceitful action or device: ""he played a trick on me""; ""he pulled a fast one and got away with it""",
103917,00111557,n,10,any distracting maneuver (as a mock attack),
103918,00111652,n,10,a maneuver in a game or conversation,
103919,00111760,n,10,a deceptive maneuver (especially to avoid capture),
103920,00111872,n,10,"how a result is obtained or an end is achieved: ""a means of communcation""; ""an example is the best agency of instruction""; ""the true way to success""",
103921,00112303,n,10,"interchangeable with ""means"" in the expression ""by dint of""",
103922,00112413,n,10,"a means or way of escaping: ""hard work was his escape from worry""; ""they installed a second hatch as an escape""; ""their escape route""",
103923,00112599,n,10,"the means whereby something is accomplished: ""my greed was the instrument of my destruction"" or ""science has given us new tools to fight disease""",
103924,00112808,n,10,"a way or means to achieve something: ""the road to fame""",
103925,00112932,n,10,"an auspicious way or means to achieve something: ""the royal road to success""",
103926,00113065,n,10,"any means of advancement: ""the job was just a stepping stone on his way to fame and riches""",
103927,00113217,n,10,"any maneuver made as part of progress toward a goal: ""the police took steps to reduce crime""",
103928,00113406,n,10,an action taken to offset another action,
103929,00113525,n,10,a takeover bid so attractive that the directors of the target company must approve it or risk shareholder protest,
103930,00113693,n,10,a measure used by an acquirer to gain control of a takeover target; acquirer tries to persuade other shareholders that the management of the target should be replaced,
103931,00113917,n,10,a buyout using borrowed money; the target company's assets are usually security for the loan,1769
103932,00114090,n,10,a leveraged buyout in which the target company's assets are sold to repay the loan that financed the takeover,1769
103933,00114262,n,10,a measure undertaken by a corporation to discourage unwanted takeover attempts,1794
103934,00114532,n,10,giving top executives lucrative benefits that must be paid by the acquirer if they are discharged after a takeover,1794
103935,00114709,n,10,paying the raider to give up a takeover attempt (as by an extravagant buyback of the stock they hold in your corporation),1794
103936,00114886,n,10,the target company defends itself by threatening to take over its acquirer,1794
103937,00115023,n,10,the target company defends itself by making its stock less attractive to an acquirer,1794
103938,00115183,n,10,a poison pill with potentially catastrophic implications for the company it is intended to protect,1794
103939,00115340,n,10,the target company defends itself by acquiring a company so onerously regulated that it makes the target less attractive (gives it a safe harbor),1794
103940,00115543,n,10,the target company defends itself by selling off its crown jewels,1794
103941,00115676,n,10,a procedure followed in making a medical diagnosis,2232
103942,00115902,n,10,a means to an end; not necessarily a principled or ethical one,
103943,00116092,n,10,a procedure adopted to meet an emergency (especially a medical emergency),2232
103944,00116303,n,10,something contrived to meet an urgent need or emergency,
103945,00116424,n,10,"anything that serves as an expedient: ""he uses drugs as a psychological crutch""",
103946,00116556,n,10,an unplanned expedient,
103947,00116660,n,10,"French for ""worst going""",
103948,00116754,n,10,"desperate actions taken as a means to an end: ""he had to resort to desperate measures""",
103949,00116904,n,10,any very successful means of achieving a result,
103950,00117009,n,10,"a means of preserving from harm or unpleasantness: ""tourism was their economic salvation""; ""they turned to individualism as their salvation""",
103951,00117205,n,10,"a means of enforcement: ""the treaty had no teeth in it""",
103952,00117312,n,10,"a means or agency by which something is expressed or communicated: ""the voice of the law""; ""the Times is not the voice of New York""; ""conservatism has many voices""",
103953,00117527,n,10,"a means of flight or ascent: ""necessity lends wings to inspiration""",
103954,00117646,n,10,making a chance decision by using lots (straws or pebbles etc.) that are thrown or drawn,
103955,00117820,n,10,"the act of accepting with approval; favorable reception: ""its adoption by society""; ""the proposal found wide acceptance""",1718
103956,00118026,n,10,"a close affectionate and protective acceptance: ""his willing embrace of new ideas""; ""in the bosom of the family""",1718
103957,00118200,n,10,"the act of selecting someone: ""many candidates ran for election""",1718
103958,00118337,n,10,the selection of a new member (usually by a vote of the existing membership),1718
103959,00118483,n,10,"election again: ""he did not run for reelection""",1718
103960,00118587,n,10,a vote by the electorate determining public opinion on a question of national importance,1718
103961,00118732,n,10,a legislative act is referred for final approval to a popular vote by the electorate,1718
103962,00118873,n,10,a vote to select the winner of a political office,1718
103963,00119067,n,10,"the opinion of a group as determined by voting: ""they put the question to a vote""",1718
103964,00119253,n,10,a national or state election; candidates are chosen in all constituencies,1718
103965,00119389,n,10,a preliminary election where delegates or nominees are chosen,1718
103966,00119541,n,10,a primary where voters directly select the candidates who will run for office,1718
103967,00119715,n,10,"a primary in which only registered members of a particular political party can vote: ""closed primaries strengthen party unity""",1718
103968,00119902,n,10,a primary in which any registered voter can vote (but must vote for candidates of only one party),1718
103969,00120058,n,10,a special election between regular elections,1718
103970,00120175,n,10,a final election to resolve an earlier election that did not produce a winner,1718
103971,00120305,n,10,"a choice that is made by voting: ""there were only 17 votes in favor of the motion""",1718
103972,00120576,n,10,a vote in which each person's choice is secret by the totaled votes are public,1718
103973,00120714,n,10,a ballot cast by a voter who votes for candidates from more than one party,1718
103974,00120865,n,10,a ballot cast by a voter who votes for all the candidates of one party,1718
103975,00121015,n,10,voting in more than one place by the same person at the same election (illegal in U.S.),1718
103976,00121164,n,10,the deciding vote cast by the presiding officer to resolve a tie,1718
103977,00121287,n,10,the act of making equal or uniform,
103978,00121442,n,10,"getting two things to correspond: ""the reconciliation of his checkbook and the bank statement""",
103979,00121609,n,10,the act of regarding as equal,
103980,00121704,n,10,the act of digging up something (especially a corpse) that has been buried,2800
103981,00121863,n,10,the act of delivering a child,"2232,2233"
103982,00122025,n,10,assisting women at childbirth,2232
103983,00122110,n,10,the delivery of a fetus by surgical incision through the abdominal wall and uterus (from the belief that Julius Caesar was born that way),2232
103984,00122416,n,10,"the act of scoring in a game or sport: ""the winning score came with less than a minute left to play""","2633,2638"
103985,00122802,n,10,the score in a bowling match,2631
103986,00122890,n,10,"in target shooting: a score made by hitting the center of the target; ""in repeated sets of five shots his numbers of bull's-eyes varied""","2633,2638"
103987,00123083,n,10,"a successful attempt at scoring: ""the winning goal came with less than a minute left to play""","2633,2638"
103988,00123227,n,10,"a score in tenpins: knocking down all ten with the first ball; ""he finished with three strikes in the tenth frame""","2633,2638"
103989,00123407,n,10,a score in tenpins; knocking down all ten after rolling two balls,"2633,2638"
103990,00123524,n,10,"any frame in which a bowler fails to make a strike or spare: ""the break in the eighth frame cost him the match""","2633,2638"
103991,00123700,n,10,the score in a football game,"2633,2638"
103992,00123789,n,10,(American football) a play in which the opposing team has kicked the football into your end zone,2871
103993,00123941,n,10,a score in American football; a player is tackled behind his own goal line,"2633,2638"
103994,00124068,n,10,"a score in American football; being in possession of the ball across the opponents"" goal line","2633,2638"
103995,00124217,n,10,"a score in American football; a score made by kicking the ball between the opponents"" goal posts","2633,2638"
103996,00124370,n,10,a score in American football made on a try for points after a touchdown,"2633,2638"
103997,00124527,n,10,the score of a baseball game,"2633,2638"
103998,00124616,n,10,"a score in baseball made by a runner touching all four bases safely: ""the Yankees scored 3 runs in the bottom of the 9th"" or ""their first tally came in the 3rd inning""","2633,2638"
103999,00124895,n,10,a run that was not scored as the result of an error by the other team,"2633,2638"
104000,00125039,n,10,a run that was scored as a result of an error by the other team,"2633,2638"
104001,00125179,n,10,"a run that is the result of the batter's performance; ""he had more than 100 rbi last season""","2633,2638"
104002,00125337,n,10,the score in a basketball game,"2633,2871"
104003,00125430,n,10,a score in basketball made by throwing the ball through the hoop,"2633,2638"
104004,00125560,n,10,a difficult or unusual feat; usually done to gain attention,2638
104005,00125689,n,10,"the act of changing something: ""the change of government had no impact on the economy""; ""his change on abortion cost him the election""",
104006,00126290,n,10,the act of reducing complexity,
104007,00126393,n,10,"an act of economizing; reduction in cost: ""it was a small economy to walk to work every day"" or ""there was a saving of 50 cents""",1753
104008,00126620,n,10,the reduction of expenditures in order to become financial stable,1753
104009,00126771,n,10,reduction in cost of production due to a large number of items produced,1753
104010,00126907,n,10,(physiology) the automatic adjustment in focal length of the lens of the eye,2234
104011,00127097,n,10,(physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light),2234
104012,00127258,n,10,the action of taking up as by tightening or absorption or reeling in,
104013,00127380,n,10,the act of adjusting again (to changed circumstances),2234
104014,00127492,n,10,"accommodation to domestic life: ""her explorer husband resisted all her attempts at domestication""",2234
104015,00127649,n,10,"the act of changing to a decimal system: ""the decimalization of British currency""",1951
104016,00127808,n,10,"the act of changing from imperial units of measurement to metric units: meters, grams, seconds",1951
104017,00127976,n,10,a general accommodation to unchanging environmental conditions,2234
104018,00128096,n,10,"an activity that varies from a norm or standard: ""any variation in his routine was immediately reported""",
104019,00128267,n,10,"act of changing in practice or custom: ""the law took many turnings over the years""",
104020,00128403,n,10,"the act of diversifying (introducing variety); ""my broker recommended a greater diversification of my investments""",
104021,00128579,n,10,"in constant change: ""his opinions are in flux""",
104022,00128676,n,10,"the act of changing one thing or position for another: ""his switch on abortion cost him the election""",
104023,00128868,n,10,a sudden unexpected switch,
