d],
227501,K3921400,n,,a measure of time,
227502,K5914322,n,,name of a daughter of Dakṣa and wife of Kaśyapa,
227503,K9522497,n,,the second month of the season intervening between winter and spring,
227504,K4756623,n,,"the first, cold season",
227505,K6809239,n,,affected by wind-disease; relating to vātadoṣa,
227506,K7322699,n,,[medic.: doṣas],
227507,K5112655,n,,[medic.: a dividing line on the body],
227508,K4673734,n,,name of a son of king Bhadrasena,
227509,K7211349,n,,characterstic for the monsoon,
227510,K1382090,n,,producing ojas,
227511,K7964422,n,,name of a son of Devakī,
227512,K6426892,n,,exhaling an odour indicative of approaching death,2232
227513,K9632377,n,,belonging to Nirṛti,
227514,K3178313,n,,belonging to the Rākṣasa,
227515,K4375744,n,,[medic.: of doṣas],
227516,K6049439,n,,a kind of joint,2232
227517,K2683089,n,,a kind of joint,2232
227518,K7978482,n,,a kind of fistula in the rectum,
227519,K4467543,n,,a kind of joint,2232
227520,K1798996,n,,a circular incision,
227521,K5842274,n,,a kind of insect found in timber,
227522,K6309054,n,,scarification,2232
227523,K3809964,n,,probing,2232
227524,K9603754,n,,drainage,2232
227525,K3388724,n,,name of a Rākṣasa killed by Aṅgada,
227526,K4896903,n,,name of a Rākṣasa and follower of Rāvaṇa,
227527,K3064376,n,,name of a Daitya,
227528,K4057425,n,,name of a Rākṣasa; follower of Rāvaṇa,
227529,K5200164,n,,a kind of surgical instrument,
227530,K9754073,n,,a kind of surgical instrument,
227531,K3401627,n,,a kind of surgical instrument,
227532,K8039881,n,,a kind of surgical instrument,
227533,K5846219,n,,(Āyurveda) a class of secondary surgical instruments,
227534,K8795287,n,,a kind of vessel,
227535,K9336440,n,,[medic.],
227536,K6018588,n,,[medic.],
227537,K4934046,n,,one of the āśayas,2232
227539,K3417581,n,,a kind of medicinal bath,
227540,K1797472,n,,a kind of medicinal bath,
227542,K3087198,n,,name of a marman; the part of the hand between the thumb and forefinger and the corresponding part of the foot,2232
227543,K5175000,n,,a kind of vessel,2232
227545,K5166079,n,,<> Eishockey!! immediate death,
227546,K8863103,n,,a kind of bone,
227547,K5274500,n,,a kind of disease,
227548,K4501351,n,,one of the 7 kalās,2232
227549,K9494906,n,,a kind of skin/membrane,2232
227550,K7334435,n,,one of the 7 kalās,2232
227551,K1515872,n,,[medic.: sucking out],
227552,K2524630,n,,mopping up,2232
227553,K5550501,n,,a pair of pincers for drawing teeth,
227554,K8245371,n,,a kind of knife used in surgery,
227556,K1333020,n,,a kind of visrāvaṇa,2232
227558,K6511763,n,,"anything used in place of a regular surgical instrument, e.g. a fingernail or glass",
227559,K9618505,n,,extraction,2232
227561,K5347651,n,,a kind of lancet,
227562,K4555041,n,,a kind of lancet,
227563,K7104665,n,,a broad-bladed knife or lancet used by surgeons,
227564,K4478301,n,,a knife or lancet with a single edge,
227565,K7074337,n,,a particular surgical instrument,
227566,K2846057,n,,a kind of military array,
227567,K9830843,n,,a kind of knife used in surgery,
227568,K1579788,n,,a kind of knife used in surgery,
227569,K3447375,n,,a kind of knife used in surgery,
227570,K3716349,n,,a kind of scissors used in surgery,
227571,K8438075,n,,a sort of knife with 3 edges,
227572,K4498610,n,,a kind of surgical knife,
227573,K2037557,n,,a kind of knife used in surgery,
227574,K7766660,n,,a kind of knife used in surgery,
227575,K3280388,n,,a kind of knife used in surgery,
227576,K9016265,n,,a surgeons circular knife,
227578,K8827880,n,,a strong and effective digestion,
227579,K9696948,n,,a kind of vessel,2232
227581,K4226519,n,,a principal sirā,
227583,K2571773,n,,name of a marman; a part of the body between the breast and backbone,2232
227584,K9543865,n,,name of a sirā,2232
227585,K2584343,n,,the lower part of the female breast,
227589,K7246770,n,,[medic.],
227590,K1880292,n,,natural phenomenon boding approaching death,
227591,K3136236,n,,name of a Brāhman,
227592,K2594155,n,,e.g. a medicine,
227593,K4439451,n,,a peculiar swelling of the tongue or epiglottis,
227594,K3420325,n,,an abscess on the under side of the tongue,
227595,K1427596,n,,name of a son of Kuśa,
227596,K4477645,n,,looseness of the teeth through external injury,
227597,K9864710,n,,measure of capacity; = 4 Āḍhakas= 16 Puṣkalas = 128 Kuñcis = 1024 Muṣṭis,
227599,K7951389,n,,a weak kind of caustic,
227600,K6438983,n,,a strong kind of caustic,
227601,K6142806,n,,a particular disease [erysipelas or any similar spreading eruption],
227602,K4444799,n,,a fresh contusion or wound,
227603,K4313276,n,,a kind of fistula,
227604,K5420448,n,,[theory of 6 rasas],
227605,K1273854,n,,[theory of 6 rasas],
227606,K9194038,n,,[theory of 6 rasas: a bit kaṭ],
227607,K1303453,n,,"a kind of disease: ""abscess""",
227608,K8532560,n,,[pharm: one of the 6 rasas],
227609,K5048419,n,,a secondary flavour,2248
227610,K9875620,n,,a kind of surgical instrument,
227611,K4589597,n,,a disease of/in the mouth,
227612,K8038243,n,,a kind of cauterisation,
227613,K2076935,n,,cauterizing of the flesh,
